iata,city,state,longitude,latitude,passengers,airport_id
ROC,Rochester,NY,-77.67186888913128,43.119143611021336,1276250.0,84
GSP,Greer,SC,-82.21886111118502,34.8956666670178,1135515.0,85
SYR,Syracuse,NY,-76.10630555643829,43.11119444428955,1133535.0,86
PIE,St. Petersburg,FL,-82.6865000001975,27.90869444427721,1090461.0,87
TYS,Knoxville,TN,-83.99532144432867,35.80937386122432,1070937.0,88
PWM,Portland,ME,-70.30861636112448,43.64564350000433,1062723.0,89
LIT,Little Rock,AR,-92.22477777827152,34.72944444395861,1047377.0,90
MSN,Madison,WI,-89.33750447231584,43.1398791388965,1047370.0,91
PNS,Pensacola,FL,-87.18661111129026,30.47341666718382,983308.0,92
PSP,Palm Springs,CA,-116.50669444387786,33.829666666692205,954934.0,93
GSO,Greensboro,NC,-79.94112344374574,36.10132586088117,941025.0,94
MHT,Manchester,NH,-71.43574999968025,42.93280555606592,913318.0,95
COS,Colorado Springs,CO,-104.70077472187168,38.80581305634611,887154.0,96
DAY,Dayton,OH,-84.21941666720679,39.9022500002171,856879.0,97
ICT,Wichita,KS,-97.43305555576056,37.64994444365925,830035.0,98
ISP,Islip,NY,-73.10066505614762,40.796135693855966,822963.0,99
PGD,Punta Gorda,FL,-81.99092583301237,26.91893777838025,786912.0,100
HPN,White Plains,NY,-73.70756655577325,41.066952749869024,775269.0,101
XNA,Fayetteville/Springdale/Rogers,AR,-94.30776555559264,36.281579167173135,755720.0,102
FAT,Fresno,CA,-119.71883333305078,36.77655555632403,739059.0,103
VPS,Valparaiso,FL,-86.52604433294813,30.48321941676273,682836.0,104
BZN,Bozeman,MT,-111.15026038861151,45.77723575027836,668922.0,105
SRQ,Sarasota,FL,-82.55438888923929,27.395444443899517,663328.0,106
BTV,Burlington,VT,-73.15327830615676,44.47195555594468,657817.0,107
LEX,Lexington,KY,-84.60863888868163,38.03674999983877,653598.0,108
MAF,Midland,TX,-102.20191666729627,31.94252777819325,630751.0,109
MDT,Harrisburg,PA,-76.76262061123566,40.19319066693471,629594.0,110
ITO,Hilo,HI,-155.04847013855482,19.72026300007163,599025.0,111
CID,Cedar Rapids,IA,-91.71079861081152,41.88468858325885,598816.0,112
HSV,Huntsville,AL,-86.7750555564317,34.63719444426325,590549.0,113
CAE,Columbia,SC,-81.11953611133158,33.93883777793331,579331.0,114
AVL,Asheville,NC,-82.54272888890377,35.43444444373643,573855.0,115
