fipstate,naics,emp,ap,est
1,331523,0,0,5
1,331524,0,0,3
1,331529,0,0,1
1,332111,0,0,2
1,332114,288,13495,11
1,332117,0,0,1
1,332119,228,8933,21
1,332215,0,0,3
1,332216,0,0,6
1,332311,32,1275,28
1,332312,2206,114453,116
1,332313,606,24377,39
1,332321,0,0,15
1,332322,650,28598,68
1,332323,242,11376,47
1,332410,0,0,4
1,332420,110,5319,12
1,332431,0,0,2
1,332439,0,0,7
1,332510,0,0,7
1,332613,0,0,3
1,332618,0,0,8
1,332710,3654,161610,302
1,332721,222,11489,36
1,332722,192,7146,8
1,332811,0,0,11
1,332812,474,23646,29
1,332813,192,7247,23
1,332911,0,0,9
1,332912,0,0,2
1,332913,0,0,1
1,332919,0,0,3
1,332991,0,0,2
1,332992,31,1701,5
1,332993,0,0,1
1,332994,0,0,4
1,332996,125,7808,17
1,332999,512,19563,40
1,333111,0,0,10
1,333112,0,0,3
1,333120,0,0,7
1,333131,0,0,1
1,333132,0,0,2
1,333241,0,0,2
1,333242,0,0,1
1,333243,46,2753,13
1,333244,0,0,1
1,333249,0,0,10
1,333314,0,0,4
1,333316,0,0,3
1,333318,27,856,17
1,333413,0,0,8
1,333414,0,0,5
1,333415,0,0,8
1,333511,111,6489,18
1,333514,442,16481,22
1,333515,0,0,4
1,333517,54,2753,8
1,333519,0,0,4
1,333611,0,0,2
1,333612,0,0,3
1,333613,0,0,3
1,333618,0,0,8
1,333911,0,0,4
1,333912,0,0,4
1,333913,0,0,1
1,333921,0,0,2
1,333922,38,1980,19
1,333923,0,0,5
1,333924,0,0,7
1,333992,0,0,4
1,333993,0,0,7
1,333994,0,0,5
1,333995,0,0,10
1,333996,0,0,3
1,333997,0,0,2
1,333999,69,3335,16
1,334111,0,0,2
1,334112,0,0,2
1,334118,0,0,4
1,334210,0,0,3
1,334220,0,0,9
1,334290,0,0,5
1,334310,0,0,1
1,334413,0,0,2
1,334416,0,0,3
1,334418,1078,41719,14
1,334419,0,0,11
1,334510,53,2749,4
1,334511,0,0,7
1,334512,0,0,3
1,334513,0,0,1
1,334514,0,0,3
1,334515,0,0,7
1,334516,19,1606,6
1,334517,0,0,1
1,334519,0,0,2
1,334614,0,0,3
1,335121,0,0,4
1,335122,0,0,2
1,335129,0,0,3
1,335210,0,0,1
1,335222,0,0,1
1,335228,0,0,1
1,335311,0,0,4
1,335312,0,0,6
1,335313,0,0,10
1,335314,306,21831,8
1,335912,0,0,1
1,335921,0,0,1
1,335929,0,0,1
1,335931,0,0,3
1,335932,0,0,6
1,335991,0,0,5
1,335999,0,0,8
1,336111,0,0,2
1,336112,0,0,3
1,336211,465,23837,16
1,336212,0,0,15
1,336213,0,0,2
1,336214,0,0,18
1,336310,0,0,7
1,336320,0,0,17
1,336330,0,0,7
1,336340,0,0,5
1,336350,343,14855,13
1,336360,0,0,23
1,336370,1818,101831,20
1,336390,4599,205692,53
1,336411,0,0,11
1,336412,150,7759,6
1,336413,0,0,8
1,336414,0,0,4
1,336415,0,0,1
1,336419,0,0,1
1,336510,0,0,8
1,336611,5717,328661,31
1,336612,146,6698,12
1,336991,0,0,4
1,336992,0,0,5
1,336999,0,0,6
1,337110,2044,72791,160
1,337121,0,0,7
1,337122,296,5150,20
1,337124,0,0,7
1,337125,0,0,3
1,337127,0,0,10
1,337211,0,0,4
1,337212,70,2692,15
1,337214,0,0,1
1,337215,99,2952,15
1,337910,0,0,5
1,337920,0,0,4
1,339112,0,0,6
1,339113,25,2038,24
1,339114,0,0,5
1,339115,0,0,2
1,339116,714,24791,79
1,339910,0,0,4
1,339920,218,7222,31
1,339930,0,0,1
1,339940,0,0,6
1,339950,406,16124,67
1,339991,0,0,8
1,339993,0,0,1
1,339994,0,0,2
1,339995,0,0,4
1,339999,0,0,25
1,42----,72596,4045422,5275
1,423110,1908,106586,126
1,423120,2174,102041,202
1,423130,655,30710,58
1,423140,102,3904,31
1,423210,329,20458,50
1,423220,207,10427,44
1,423310,1706,93807,159
1,423320,284,13547,53
1,423330,466,27162,65
1,423390,513,37389,54
1,423410,0,0,7
1,423420,1422,83878,106
1,423430,357,40153,60
1,423440,289,15480,36
1,423450,1062,100998,103
1,423460,44,1516,11
1,423490,11,361,18
1,423510,2831,174696,185
1,423520,161,7150,15
1,423610,2088,138304,223
1,423620,76,3735,26
1,423690,1083,104356,139
1,423710,1107,51436,81
1,423720,891,53275,71
1,423730,934,103613,120
1,423740,187,12080,18
1,423810,1878,122492,84
1,423820,1035,42346,128
1,423830,4225,271986,438
1,423840,1182,77770,154
1,423850,378,17938,58
1,423860,216,12507,27
1,423910,707,34185,63
1,423920,0,0,8
1,423930,1524,61136,186
1,423940,184,4100,28
1,423990,813,36630,127
1,424110,0,0,5
1,424120,378,17574,64
1,424130,448,23576,46
1,424210,1132,159216,86
1,424310,26,810,16
1,424320,18,655,20
1,424330,91,2765,24
1,424340,0,0,4
1,424410,0,0,28
1,424420,127,4911,32
1,424430,243,11217,24
1,424440,0,0,7
1,424450,213,12832,46
1,424460,336,7360,17
1,424470,30,871,12
1,424480,326,15684,23
1,424490,3558,155825,152
1,424510,0,0,16
1,424520,23,1114,16
1,424590,25,1431,14
1,424610,160,7511,33
1,424690,830,56017,110
1,424710,627,35298,106
1,424720,102,7267,51
1,424810,737,33998,27
1,424820,331,15838,18
1,424910,570,28416,89
1,424920,47,1697,22
1,424930,213,7000,45
1,424940,0,0,19
1,424950,31,995,21
1,424990,193,7033,80
1,425110,0,0,5
1,425120,3397,176622,635
1,44----,237123,5996907,18097
1,441110,14818,765690,346
1,441120,2881,117055,571
1,441210,329,16690,40
1,441222,358,14191,77
1,441228,869,33992,106
1,441310,6683,155289,799
1,441320,2959,104718,416
1,442110,3300,103757,479
1,442210,830,32950,174
1,442291,26,886,15
1,442299,2077,34725,221
1,443141,1278,65534,208
1,443142,3142,75199,388
1,444110,6555,153625,158
1,444120,302,12150,120
1,444130,1414,35946,246
1,444190,4416,189529,440
1,444210,367,13576,97
1,444220,1765,45879,276
1,445110,30818,605448,757
1,445120,586,10740,271
1,445210,264,4184,40
1,445220,236,3697,32
1,445230,140,2086,32
1,445291,21,317,28
1,445292,28,340,22
1,445299,144,1768,53
1,445310,1035,24742,357
1,446110,13478,471996,1046
1,446120,2081,33454,286
1,446130,812,17019,128
1,446191,372,7217,115
1,446199,940,36730,170
1,447110,15443,269054,2966
1,447190,1811,42487,162
1,448110,693,15907,128
1,448120,4788,60591,597
1,448130,829,11603,107
1,448140,8051,99301,466
1,448150,577,8352,88
1,448190,1260,21045,159
1,448210,3295,46375,398
1,448310,1325,38275,254
1,448320,20,697,8
1,451110,3850,70638,271
1,451120,1423,24155,87
1,451130,323,3363,55
1,451140,267,7064,55
1,451211,1305,17470,120
1,451212,0,0,4
1,452111,5285,101496,61
1,452112,2362,46578,54
1,452910,11485,299027,127
1,452990,10362,164615,1247
1,453110,707,12060,227
1,453210,810,19180,104
1,453220,1442,19558,269
1,453310,2624,42732,338
1,453910,808,14868,85
1,453920,31,536,23
1,453930,181,9863,74
1,453991,335,5301,122
1,453998,865,23511,240
1,454111,747,23289,197
1,454112,0,0,3
1,454113,353,18518,49
1,454210,128,3427,66
1,454310,520,18483,149
1,454390,811,29186,223
1,48----,54921,2340241,2960
1,481111,173,8832,14
1,481112,0,0,3
1,481211,20,1524,17
1,481212,0,0,1
1,481219,0,0,1
1,483111,0,0,1
1,483113,0,0,4
1,483114,0,0,1
1,483211,44,2323,7
1,483212,0,0,4
1,484110,1420,53853,260
1,484121,9425,377857,569
1,484122,3419,186897,123
1,484210,892,26552,81
1,484220,3150,127941,488
1,484230,3398,145784,246
1,485113,0,0,2
1,485210,0,0,4
1,485310,0,0,14
1,485320,63,753,18
1,485410,0,0,15
1,485510,188,3404,17
1,485991,106,3228,22
1,485999,34,595,14
1,486110,0,0,8
1,486210,100,7571,32
1,486910,0,0,6
1,487110,0,0,3
1,487210,51,1651,32
1,488111,0,0,2
1,488119,521,11998,33
1,488190,616,47725,52
1,488210,311,16569,48
1,488310,0,0,2
1,488320,634,43992,15
1,488330,68,3988,14
1,488390,272,13945,17
1,488410,522,17681,120
1,488490,10,218,25
1,488510,1917,92785,193
1,488991,0,0,6
1,488999,0,0,3
1,492110,3247,143863,155
1,492210,113,2663,36
1,493110,8064,288693,166
1,493120,291,16356,21
1,493130,0,0,11
1,493190,183,10215,34
1,51----,32929,1866871,1658
1,511110,780,37235,110
1,511120,991,54510,75
1,511130,59,3004,27
1,511140,0,0,6
1,511191,0,0,1
1,511199,0,0,6
1,511210,1420,118457,73
1,512110,174,12696,52
1,512131,476,8309,50
1,512132,0,0,2
1,512191,0,0,4
1,512210,0,0,1
1,512230,0,0,3
1,512240,28,1288,11
1,512290,0,0,1
1,515111,0,0,10
1,515112,882,36293,109
1,515120,1416,73530,37
1,515210,0,0,2
1,517110,8947,593309,560
1,517210,2784,163038,288
1,517410,0,0,3
1,517911,10,204,15
1,517919,134,4004,47
1,518210,5297,335740,107
1,519110,0,0,3
1,519120,0,0,14
1,519130,50,2968,37
1,519190,0,0,4
1,52----,70109,4921571,7307
1,521110,0,0,1
1,522110,26769,1744072,1628
1,522120,0,0,23
1,522130,4641,210666,407
1,522210,0,0,1
1,522220,98,5719,55
1,522291,2179,76896,691
1,522292,1432,123914,232
1,522298,1530,52497,429
1,522310,277,24552,55
1,522320,59,3586,23
1,522390,1347,57192,500
1,523110,140,22329,17
1,523120,1666,278358,383
1,523140,0,0,9
1,523910,119,10975,54
1,523920,553,53105,131
1,523930,622,60932,180
1,523991,21,1984,18
1,523999,0,0,6
1,524113,2697,234329,114
1,524114,1431,111111,94
1,524126,4285,341527,414
1,524127,27,1276,15
1,524128,0,0,8
1,524210,7445,464669,1658
1,524291,1919,203820,67
1,524292,1464,91917,59
1,524298,107,6924,24
1,525910,0,0,1
1,525990,0,0,10
1,53----,23186,977098,4216
1,531110,3297,100334,839
1,531120,1254,88207,350
1,531130,635,16213,313
1,531190,195,5181,93
1,531210,3163,156452,979
1,531311,5136,183167,387
1,531312,991,61510,126
1,531320,326,15204,181
1,531390,226,18416,96
1,532111,1118,33799,127
1,532112,0,0,4
1,532120,657,26378,118
1,532210,754,23518,159
1,532220,0,0,16
1,532230,15,266,16
1,532291,434,17396,72
